# zzwrap module
# Deprecated code patterns and breaking changes
#
# This file lists deprecated code patterns (replace with newer alternatives)
# and breaking changes (migration notes). The checker scans the codebase
# for deprecations; breaking changes are shown as informational only.
#
# Part of »Zugzwang Project«
# https://www.zugzwang.org/modules/zzwrap
#
# @author Gustaf Mossakowski <gustaf@koenige.org>
# @copyright Copyright © 2025-2026 Gustaf Mossakowski
# @license http://opensource.org/licenses/lgpl-3.0.html LGPL-3.0
#
#: Identifier	Type	Search Text	Message	Exclude Pattern
# exclude_pattern: files matching this pattern will be excluded from results (multiple patterns separated by semicolon)
#
2018-04-19-1	code	!ISNULL	deprecated in Mysql, use NOT ISNULL
2022-06-11-1	filename	pwd.inc.php	use pwd.json	
2023-03-21-1	code	$zz_conf['db_name']	use setting `db_name`	zzwrap/zzwrap/database.inc.php
2023-06-23-1	code	$zz_conf['text']	use wrap_text_set() instead	zzwrap/zzwrap/language.inc.php
2024-06-24-1	filename	-template.pot	use filename without `-template` string
2024-10-18-1	code	$page['breadcrumbs'][] = '	breadcrumbs should be arrays
2024-11-01-1	code	wrap_localhost_ip	use wrap_http_localhost_ip() instead
2024-11-02-1	code	wrap_file_send	use wrap_send_file() instead	zzwrap/zzwrap/send.inc.php
2024-11-02-2	code	require_once wrap_setting('core')	use wrap_include('…', 'zzwrap')
2024-12-03-1	code	custom_wrap_dir	removed
2024-12-03-2	code	custom_wrap_sql_dir	removed
2025-07-15-1	code	wrap_rights	removed, use wrap_access('preview')
2025-07-15-2	code	wrap_test_secret_key	removed
2025-08-24-1	code	$page['send_as_json']	use setting `send_as_json`
2025-11-12-1	filename	custom/text-*.po	use `languages` folder
2025-11-13-1	code	'add_next' =>	for `$zz_page['breadcrumb_placeholder]`, removed; use full URL in placeholder
2025-12-14-1	code	wrap_syndication_retrieve_via_http	use wrap_syndication_http_request() instead, different parameters	zzwrap/syndication.inc.php
2025-12-15-1	code	wrap_syndication_get	use wrap_syndication() instead, different parameters	zzwrap/syndication.inc.php
2025-12-15-2	code	wrap_tsv_parse	added a new key _package, take care for that	zzbrick_make/deprecations.inc.php;zzwrap/errorhandling.inc.php;feedback/zzbrick_request/feedback.inc.php;zzwrap/files.inc.php;zzwrap/http.inc.php;zzwrap/format.inc.php;newsletters/zzbrick_make/deliverystatus.inc.php;mediadb/mediadb/metadata-iptc.inc.php
2025-12-28-1	code	wrap_db_increment	use wrap_mysql_increment() instead
2025-12-28-2	code	wrap_db_auto_increment	use wrap_mysql_increment() instead
2026-02-12-1	code	default = [	use `default[] = ` instead
2026-02-12-2	code	enum = [	use `enum[] = ` instead
2026-02-12-3	code	scope = [	use `scope[] = ` instead
2026-02-12-4	code	wrap_setting_value(	use wrap_setting_parse() + wrap_setting_list() instead, list() only if you need list values `[a, b, c]` parsed	zzwrap/zzwrap/settings.inc.php
2026-02-14-1	code	bool = 1	in .cfg files: use `type = bool`
2026-02-23-1	code_regex	in_array\('.+', wrap_setting\('modules'\)	use wrap_package()
2026-02-26-1	code	$zz_page['url_placeholders']	use wrap_setting('url_placeholders'), values are lists not key/value pairs
2026-03-10-1	code	wrap_setting_path(	use wrap_path() directly
2026-03-11-1	filename	text-de.inc.php	use PO format and `text-de.po`
2026-03-11-2	filename	text-en.inc.php	use PO format and `text-en.po`
2026-03-11-3	filename	text-pl.inc.php	use PO format and `text-pl.po`
2026-03-11-4	breaking		No .po files inside `[module]/[module]` folder are included anymore, please move them to `[module]/languages`
2026-03-12-1	breaking		Move `_path` definitions with brick to `routes.cfg`, merge with access groups from `access.cfg`, delete old path settings via `update.sql` and remove from `settings.cfg`
2026-03-14-1	code	login_entry_path[	use internal redirect to other page, no more complicated setting of different paths for different domains here
2026-03-14-2	code	change_password_path[	use route `change_password`
2026-03-14-3	code	wrap_domain_path	use wrap_path() instead
2026-03-14-4	code	change_password_path	removed, paths from routes; use wrap_path()
2026-03-14-5	code	jobmanager_path	removed, paths from routes; use wrap_path()
2026-03-14-6	code	login_entry_path	removed, paths from routes; use wrap_path() or webpages.parameters route=
2026-03-14-7	code_regex	wrap_path\s*\([^,)]+,[^,)]+,[^,\[)]+,[^,)]+	use wrap_path($area, $value, $settings) with keys check_rights and testing in $settings instead of 4th and 5th parameters	zzwrap/zzwrap/settings.inc.php
2026-03-14-8	code_regex	wrap_path\s*\([^,]+,[^,]+,\s*(true|false)\s*[),]	use wrap_path($area, $value, ['check_rights' => $bool]) instead of boolean as third parameter
2026-03-14-9	code_regex	wrap_path\s*\([^,]+,[^,]+,\s*['\"][^'\"]*['\"]\s*[),]	use wrap_path($area, $value, ['detail' => '...']) instead of string as third parameter (e.g. access detail)
2026-03-17-1	code	wrap_menu_hierarchy	use wrap_routes_page_ids() instead
