# Columns:
#: UTF-8 (hex.)	Unicode code point	character	UTF-8 (hex.) replacement	name

# Unicode U+0080 -- U+00FF
# Letters

41 cc 80	U+00C0	À	c3 80	LATIN CAPITAL LETTER A WITH GRAVE
41 cc 81	U+00C1	Á	c3 81	LATIN CAPITAL LETTER A WITH ACUTE
41 cc 82	U+00C2	Â	c3 82	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
41 cc 83	U+00C3	Ã	c3 83	LATIN CAPITAL LETTER A WITH TILDE
41 cc 88	U+00C4	Ä	c3 84	LATIN CAPITAL LETTER A WITH DIAERESIS
41 cc 8a	U+00C5	Å	c3 85	LATIN CAPITAL LETTER A WITH RING ABOVE

43 cc a7	U+00C7	Ç	c3 87	LATIN CAPITAL LETTER C WITH CEDILLA

45 cc 80	U+00C8	È	c3 88	LATIN CAPITAL LETTER E WITH GRAVE
45 cc 81	U+00C9	É	c3 89	LATIN CAPITAL LETTER E WITH ACUTE
45 cc 82	U+00CA	Ê	c3 8a	LATIN CAPITAL LETTER E WITH CIRCUMFLEX
45 cc 88	U+00CB	Ë	c3 8b	LATIN CAPITAL LETTER E WITH DIAERESIS

49 cc 80	U+00CC	Ì	c3 8c	LATIN CAPITAL LETTER I WITH GRAVE
49 cc 81	U+00CD	Í	c3 8d	LATIN CAPITAL LETTER I WITH ACUTE
49 cc 82	U+00CE	Î	c3 8e	LATIN CAPITAL LETTER I WITH CIRCUMFLEX
49 cc 88	U+00CF	Ï	c3 8f	LATIN CAPITAL LETTER I WITH DIAERESIS

4e cc 83	U+00D1	Ñ	c3 91	LATIN CAPITAL LETTER N WITH TILDE

4f cc 80	U+00D2	Ò	c3 92	LATIN CAPITAL LETTER O WITH GRAVE
4f cc 81	U+00D3	Ó	c3 93	LATIN CAPITAL LETTER O WITH ACUTE
4f cc 82	U+00D4	Ô	c3 94	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
4f cc 83	U+00D5	Õ	c3 95	LATIN CAPITAL LETTER O WITH TILDE
4f cc 88	U+00D6	Ö	c3 96	LATIN CAPITAL LETTER O WITH DIAERESIS
-	U+00D8	Ø	c3 98	LATIN CAPITAL LETTER O WITH STROKE

55 cc 80	U+00D9	Ù	c3 99	LATIN CAPITAL LETTER U WITH GRAVE
55 cc 81	U+00DA	Ú	c3 9a	LATIN CAPITAL LETTER U WITH ACUTE
55 cc 82	U+00DB	Û	c3 9b	LATIN CAPITAL LETTER U WITH CIRCUMFLEX
55 cc 88	U+00DC	Ü	c3 9c	LATIN CAPITAL LETTER U WITH DIAERESIS

